recommendation_type,entity_type,entity_id,customer_segment,priority,recommendation,business_reason
Reactivation Campaign,Customer,CUST00221,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST00222,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST00223,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST00224,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST00225,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST00226,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00227,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST00228,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
General Engagement,Customer,CUST00229,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00230,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST00231,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST00232,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST00233,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST00234,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST00235,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST00236,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Campaign,Customer,CUST00237,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST00238,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Rewards,Customer,CUST00239,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST00240,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST00241,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST00242,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST00243,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST00245,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00246,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00247,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00248,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00249,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST00250,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST00251,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST00252,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST00253,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST00254,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST00255,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST00256,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST00257,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST00258,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Campaign,Customer,CUST00259,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST00260,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST00262,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Rewards,Customer,CUST00263,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST00264,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Rewards,Customer,CUST00265,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST00266,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST00267,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST00268,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00269,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00271,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
